t,az
1857.53,4208
1859.50,4214
1861.40,4134
1863.38,4032
1865.35,3910
1867.33,3836
1869.30,3820
1871.30,3788
1873.28,3756
1875.25,3880
1877.23,4178
1879.20,4536
1881.20,4858
1883.18,5034
1885.15,5046
1887.13,4938
1889.10,4724
1891.10,4458
1893.08,4210
1895.05,4028
1897.03,3914
1899.00,3908
1901.00,3946
1902.98,3992
1904.95,4028
1906.93,3990
1908.90,3922
1910.90,3902
1912.88,3928
1914.85,4000
1916.83,4128
1918.80,4254
1920.80,4382
1922.78,4494
1924.75,4580
1926.73,4620
1928.70,4606
1930.60,4566
1932.58,4498
1934.55,4406
1936.53,4310
1938.50,4220
1940.50,4148
1942.48,4080
1944.45,4042
1946.43,4010
1948.40,4020
1950.40,4062
1952.38,4124
1954.35,4184
1956.33,4258
1958.30,4332
1960.30,4430
1962.28,4504
1964.25,4542
1966.23,4560
1968.20,4560
1970.20,4520
1972.18,4486
1974.15,4438
1976.13,4388
1978.10,4334
1980.10,4320
1982.08,4318
1984.05,4278
1986.03,4254
1988.00,4232
1989.90,4210
1991.90,4190
1993.90,4148
1995.90,4152
1997.90,4152
1999.80,4182
2001.78,4182
2003.75,4246
2005.73,4246
2007.70,4294
2009.70,4294
2011.68,4336
2013.65,4352
2015.63,4348
2017.60,4370
2019.60,4380
2021.58,4406
2023.55,4448
2025.53,4500
2027.50,4554
2029.50,4634
2031.48,4706
2033.45,4770
2035.43,4838
2037.40,4856
2039.40,4858
2041.38,4886
2043.35,4882
2045.33,4864
2047.30,4830
2049.30,4786
2051.28,4784
2053.25,4790
2055.23,4780
2057.20,4760
2059.20,4720
2061.18,4620
2063.15,4572
2065.13,4520
2067.10,4492
2069.00,4450
2070.98,4408
2072.95,4362
2074.93,4350
2076.90,4360
2078.90,4362
2080.88,4384
2082.85,4412
2084.83,4436
2086.80,4472
2088.80,4514
2090.78,4532
2092.75,4556
2094.73,4576
2096.70,4612
2098.70,4640
2100.68,4632
2102.65,4610
2104.63,4632
2106.60,4632
2108.60,4644
2110.58,4656
2112.55,4642
2114.53,4640
2116.50,4640
2118.50,4628
2120.48,4612
2122.45,4608
2124.43,4600
2126.40,4586
2128.30,4594
2130.30,4612
2132.30,4614
2134.30,4608
2136.30,4622
2138.20,4592
2140.18,4592
2142.15,4562
2144.13,4574
2146.10,4588
2148.10,4596
2150.08,4584
2152.05,4602
2154.03,4610
2156.00,4618
2158.00,4626
2159.98,4612
2161.95,4628
2163.93,4664
2165.90,4708
2167.90,4788
2169.88,4850
2171.85,4892
2173.83,4920
2175.80,4970
2177.80,5014
2179.78,5026
2181.75,5036
2183.73,5018
2185.70,4958
2187.70,4858
2189.68,4782
2191.65,4694
2193.63,4616
2195.60,4546
2197.60,4490
2199.58,4454
2201.55,4456
2203.53,4442
2205.50,4426
2207.40,4456
2209.38,4488
2211.35,4520
2213.33,4564
2215.30,4666
2217.30,4776
2219.28,4930
2221.25,5080
2223.23,5256
2225.20,5392
2227.20,5458
2229.18,5458
2231.15,5356
2233.13,5170
2235.10,4956
2237.10,4776
2239.08,4604
2241.05,4470
2243.03,4370
2245.00,4288
2247.00,4198
2248.98,4122
2250.95,4168
2252.93,4296
2254.90,4400
2256.90,4430
2258.88,4466
2260.85,4598
2262.83,4800
2264.80,5240
2266.70,5240
2268.70,5316
2270.70,5294
2272.70,4986
2274.70,4986
2276.60,4582
2278.58,4582
2280.55,4452
2282.53,4452
2284.50,4438
2286.50,4416
2288.48,4402
2290.45,4424
2292.43,4492
2294.40,4568
2296.40,4636
2298.38,4752
2300.35,4854
2302.33,4960
2304.30,5062
2306.30,5150
2308.28,5180
2310.25,5200
2312.23,5170
2314.20,5082
2316.20,4962
2318.18,4824
2320.15,4730
2322.13,4692
2324.10,4670
2326.10,4696
2328.08,4780
2330.05,4882
2332.03,4962
2334.00,5064
2335.90,5158
2337.90,5244
2339.90,5316
2341.90,5390
2343.90,5446
2345.80,5506
2347.78,5510
2349.75,5478
2351.73,5472
2353.70,5440
2355.70,5394
2357.68,5370
2359.65,5320
2361.63,5250
2363.60,5190
2365.60,5126
2367.58,5040
2369.55,4952
2371.53,4890
2373.50,4844
2375.50,4834
2377.48,4846
2379.45,4836
2381.43,4824
2383.40,4800
2385.40,4826
2387.38,4844
2389.35,4884
2391.33,4896
2393.30,4898
2395.30,4912
2397.28,4952
2399.25,4964
2401.23,5024
2403.20,5092
2405.10,5150
2407.10,5200
2409.10,5228
2411.10,5264
2413.10,5360
2415.00,5438
2416.98,5476
2418.95,5496
2420.93,5470
2422.90,5462
2424.90,5432
2426.88,5392
2428.85,5332
2430.83,5278
2432.80,5194
2434.80,5128
2436.78,5066
2438.75,4994
2440.73,4938
2442.70,4892
2444.70,4852
2446.68,4810
2448.65,4752
2450.63,4730
2452.60,4704
2454.60,4696
2456.58,4712
2458.55,4752
2460.53,4814
2462.50,4860
2464.50,4912
2466.48,4948
2468.45,5000
2470.43,5038
2472.40,5056
2474.30,5082
2476.30,5096
2478.30,5078
2480.30,5084
2482.30,5072
2484.20,5080
2486.18,5100
2488.15,5092
2490.13,5100
2492.10,5090
2494.10,5062
2496.08,5056
2498.05,5080
2500.03,5108
2502.00,5144
2504.00,5154
2505.98,5184
2507.95,5236
2509.93,5270
2511.90,5294
2513.90,5288
2515.88,5276
2517.85,5264
2519.83,5264
2521.80,5278
2523.80,5264
2525.78,5250
2527.75,5250
2529.73,5232
2531.70,5246
2533.70,5256
2535.68,5256
2537.65,5260
2539.63,5260
2541.60,5300
2543.50,5300
2545.50,5362
2547.50,5362
2549.50,5414
2551.50,5442
2553.40,5454
2555.38,5444
2557.35,5424
2559.33,5400
2561.30,5378
2563.30,5324
2565.28,5282
2567.25,5244
2569.23,5202
2571.20,5164
2573.20,5120
2575.18,5064
2577.15,5042
2579.13,5010
2581.10,4958
2583.10,4912
2585.08,4876
2587.05,4828
2589.03,4822
2591.00,4832
2593.00,4868
2594.98,4936
2596.95,5024
2598.93,5174
2600.90,5346
