t,lead_I,lead_II,v3,v4
563.0,-21774,-40584,15835,-47374
565.0,-21541,-40659,15731,-47484
567.0,-21795,-40864,15637,-47562
569.0,-22138,-41106,15472,-47745
571.0,-22432,-41291,15348,-47913
573.0,-22796,-41423,15392,-47894
575.0,-22877,-41496,15420,-47889
577.0,-22476,-41517,15220,-48122
579.0,-22245,-41604,14947,-48395
581.0,-22578,-41804,14845,-48459
583.0,-22787,-41888,14882,-48397
585.0,-22362,-41640,14937,-48339
587.0,-21874,-41303,14955,-48309
589.0,-21904,-41334,14865,-48389
591.0,-22226,-41723,14678,-48600
593.0,-22473,-42035,14537,-48779
595.0,-22586,-42085,14474,-48847
597.0,-22503,-42028,14386,-48892
599.0,-22238,-41940,14294,-48926
601.0,-22111,-41839,14302,-48888
603.0,-22317,-41865,14399,-48801
605.0,-22609,-42025,14504,-48717
607.0,-22734,-42121,14565,-48665
609.0,-22706,-42109,14521,-48703
611.0,-22610,-42103,14379,-48817
613.0,-22616,-42104,14265,-48876
615.0,-22868,-42075,14265,-48845
617.0,-23078,-42043,14344,-48802
619.0,-22826,-41969,14460,-48741
621.0,-22370,-41825,14561,-48652
623.0,-22289,-41726,14548,-48658
625.0,-22488,-41737,14432,-48774
627.0,-22478,-41792,14381,-48801
629.0,-22308,-41912,14445,-48700
631.0,-22330,-42153,14465,-48705
633.0,-22508,-42340,14388,-48851
635.0,-22645,-42234,14398,-48860
637.0,-22788,-41944,14572,-48645
639.0,-22975,-41856,14698,-48486
641.0,-23047,-42077,14611,-48543
643.0,-22942,-42236,14460,-48635
645.0,-22799,-42058,14443,-48625
647.0,-22720,-41833,14500,-48617
649.0,-22693,-41911,14477,-48700
651.0,-22650,-42053,14372,-48809
653.0,-22505,-41893,14273,-48896
655.0,-22254,-41641,14207,-48975
657.0,-22075,-41682,14174,-49020
659.0,-22150,-41929,14219,-48967
661.0,-22448,-42110,14377,-48812
663.0,-22749,-42191,14569,-48643
665.0,-22855,-42187,14675,-48543
667.0,-22791,-42106,14695,-48502
669.0,-22793,-42108,14702,-48487
671.0,-22946,-42214,14665,-48555
673.0,-23001,-42150,14527,-48722
675.0,-22790,-41926,14406,-48837
677.0,-22532,-41930,14423,-48801
679.0,-22442,-42114,14485,-48737
681.0,-22430,-41972,14483,-48739
683.0,-22386,-41588,14480,-48741
685.0,-22356,-41585,14518,-48712
687.0,-22349,-41946,14525,-48707
689.0,-22353,-42105,14469,-48753
691.0,-22480,-42065,14398,-48839
693.0,-22755,-42207,14363,-48909
695.0,-22884,-42368,14353,-48905
697.0,-22573,-42230,14279,-48921
699.0,-22032,-41991,14145,-49027
701.0,-21840,-41820,14152,-49014
703.0,-22224,-41613,14324,-48803
705.0,-22760,-41613,14366,-48729
707.0,-22917,-42058,14250,-48885
709.0,-22713,-42411,14325,-48867
711.0,-22570,-42262,14550,-48618
713.0,-22636,-42155,14515,-48590
715.0,-22619,-42410,14286,-48830
717.0,-22424,-42477,14229,-48961
719.0,-22459,-42219,14264,-48965
721.0,-22897,-42185,14195,-49007
723.0,-23220,-42344,14225,-48946
725.0,-23028,-42211,14409,-48784
727.0,-22675,-41974,14398,-48848
729.0,-22584,-42050,14168,-49093
731.0,-22587,-42217,14096,-49133
733.03,-22412,-42203,14175,-49039
735.05,-22244,-42214,14089,-49153
737.08,-22344,-42288,13952,-49287
739.1,-22529,-42156,14076,-49102
741.1,-22465,-41941,14282,-48871
743.1,-22306,-42035,14227,-48966
745.1,-22527,-42357,14092,-49110
747.1,-23108,-42489,14201,-48944
749.1,-23452,-42363,14371,-48757
751.1,-23277,-42256,14292,-48904
753.1,-22977,-42317,14118,-49144
755.1,-22919,-42460,14109,-49163
757.1,-23004,-42574,14137,-49126
759.1,-23024,-42629,14041,-49211
761.1,-22920,-42626,13979,-49239
763.1,-22699,-42531,14052,-49125
765.1,-22462,-42316,14073,-49087
767.1,-22383,-42084,13963,-49193
769.1,-22435,-42029,13915,-49250
771.1,-22396,-42227,13985,-49201
773.1,-22281,-42515,14009,-49190
775.1,-22395,-42634,13944,-49240
777.1,-22795,-42497,13914,-49244
779.1,-23073,-42307,13940,-49197
781.1,-22909,-42308,13941,-49178
783.1,-22562,-42459,13918,-49186
785.1,-22534,-42569,13960,-49136
787.1,-22886,-42618,14100,-48994
789.1,-23181,-42619,14240,-48883
791.1,-23100,-42408,14232,-48955
793.1,-22831,-42023,14065,-49165
795.1,-22706,-41894,13897,-49333
797.1,-22747,-42218,13839,-49389
799.1,-22790,-42622,13861,-49367
801.1,-22778,-42747,13918,-49270
803.1,-22713,-42632,13995,-49145
805.1,-22595,-42446,14049,-49088
807.1,-22549,-42391,14075,-49083
809.1,-22714,-42689,14101,-49063
811.1,-22921,-43128,14080,-49101
813.1,-22769,-43074,13952,-49252
815.1,-22188,-42443,13818,-49368
817.1,-21737,-42013,13791,-49354
819.1,-21980,-42285,13770,-49362
821.1,-22597,-42749,13673,-49454
823.1,-22844,-42793,13714,-49380
825.1,-22862,-42582,14057,-49028
827.1,-23307,-42511,14384,-48755
829.1,-23762,-42510,14333,-48850
831.1,-23350,-42450,14086,-49085
833.1,-22627,-42529,14001,-49161
835.1,-22712,-42752,14037,-49146
837.1,-23168,-42726,14038,-49134
839.1,-23005,-42386,14060,-49067
841.1,-22629,-42236,14084,-49030
843.1,-22740,-42497,13977,-49145
845.1,-22850,-42746,13866,-49228
847.1,-22524,-42689,13953,-49119
849.1,-22346,-42577,14096,-49032
851.1,-22608,-42608,14072,-49147
853.1,-22729,-42620,13951,-49301
855.1,-22450,-42551,13886,-49340
857.1,-22193,-42518,13899,-49303
859.1,-22211,-42426,14002,-49208
861.1,-22403,-42146,14174,-49050
863.1,-22625,-41935,14298,-48895
865.1,-22621,-42015,14326,-48798
867.1,-22280,-42076,14325,-48765
869.1,-22144,-41863,14372,-48755
871.1,-22728,-41736,14518,-48674
873.1,-23472,-42023,14699,-48535
875.1,-23523,-42359,14703,-48550
877.1,-23140,-42258,14482,-48774
879.1,-23069,-41882,14316,-48923
881.1,-23163,-41711,14416,-48803
883.1,-22910,-41801,14608,-48606
885.1,-22567,-41879,14650,-48569
887.1,-22587,-41884,14578,-48640
889.1,-22703,-41894,14559,-48644
891.1,-22535,-41758,14588,-48593
893.1,-22337,-41404,14543,-48626
895.1,-22424,-41174,14470,-48689
897.1,-22501,-41227,14525,-48605
899.1,-22190,-41177,14636,-48452
901.1,-21780,-40934,14615,-48436
903.1,-21873,-41038,14564,-48455
905.1,-22449,-41551,14689,-48309
907.1,-22834,-41751,14803,-48204
909.1,-22655,-41464,14621,-48413
911.1,-22300,-41443,14339,-48732
913.1,-22238,-42003,14299,-48827
915.1,-22394,-42534,14387,-48781
917.1,-22457,-42609,14312,-48828
919.1,-22428,-42487,14154,-48910
921.1,-22576,-42435,14147,-48874
923.1,-22950,-42410,14230,-48792
925.1,-23169,-42384,14192,-48824
927.1,-22920,-42435,14026,-48960
929.1,-22523,-42592,13907,-49064
931.1,-22495,-42800,13922,-49071
933.1,-22730,-42931,13955,-49075
935.1,-22783,-42874,13866,-49198
937.1,-22713,-42684,13711,-49382
939.1,-22800,-42484,13651,-49452
941.1,-22842,-42269,13693,-49402
943.1,-22630,-42085,13739,-49353
945.1,-22581,-42201,13820,-49285
947.1,-23036,-42740,13975,-49132
949.1,-23463,-43358,14037,-49043
951.1,-23256,-43581,13893,-49160
953.1,-22762,-43351,13731,-49324
955.1,-22666,-43016,13720,-49353
957.1,-22901,-42905,13763,-49328
959.1,-22976,-43015,13771,-49341
961.1,-22838,-43095,13824,-49322
963.1,-22684,-42983,13914,-49261
965.1,-22539,-42810,13908,-49261
967.1,-22505,-42769,13783,-49340
969.1,-22676,-42815,13631,-49445
971.1,-22669,-42807,13477,-49585
973.1,-22221,-42823,13329,-49727
975.1,-21992,-43026,13313,-49744
977.1,-22603,-43351,13538,-49589
979.1,-23396,-43589,13848,-49438
981.1,-23427,-43665,13930,-49510
983.1,-22954,-43653,13775,-49762
985.1,-22746,-43643,13787,-49883
987.1,-22780,-43638,14232,-49663
989.1,-22631,-43528,14853,-49251
991.1,-22322,-43219,15307,-48867
993.1,-22032,-42729,15665,-48434
995.1,-21650,-42063,16114,-47783
997.1,-21111,-41226,16490,-47013
999.1,-20605,-40342,16565,-46300
1001.1,-20203,-39342,16525,-45519
1003.1,-19687,-37827,16698,-44461
1005.1,-18955,-35809,16993,-43290
1007.1,-18316,-34066,17112,-42335
1009.1,-18170,-33084,17060,-41601
1011.1,-18544,-32426,16983,-40962
1013.1,-19126,-31832,16724,-40661
1015.1,-19637,-31978,16016,-41121
1017.1,-19990,-33437,14864,-42396
1019.1,-20243,-35805,13413,-44237
1021.1,-20580,-38384,11735,-46467
1023.13,-21131,-40846,10029,-48892
1025.15,-21689,-42861,8754,-51002
1027.18,-21934,-43957,8327,-52194
1029.2,-21999,-44129,8718,-52351
1031.2,-22287,-43979,9491,-51949
1033.2,-22747,-43997,10295,-51441
1035.2,-22990,-44111,11118,-50873
1037.2,-22987,-44075,11940,-50280
1039.2,-22973,-43882,12560,-49905
1041.2,-22933,-43642,12957,-49760
1043.2,-22684,-43377,13278,-49609
1045.2,-22193,-43117,13424,-49515
1047.2,-21728,-42971,13307,-49636
1049.2,-21917,-42952,13285,-49678
1051.2,-23023,-42926,13583,-49398
1053.2,-24074,-42822,13805,-49169
1055.2,-23902,-42734,13708,-49283
1057.2,-22953,-42747,13649,-49426
1059.2,-22545,-42826,13809,-49370
1061.2,-22800,-42943,13906,-49323
1063.2,-22962,-43098,13857,-49376
1065.2,-22938,-43178,13843,-49388
1067.2,-23024,-43111,13842,-49368
1069.2,-23051,-43106,13773,-49378
1071.2,-22863,-43309,13741,-49369
1073.2,-22739,-43460,13748,-49376
1075.2,-22803,-43391,13662,-49476
1077.2,-22790,-43327,13579,-49534
1079.2,-22530,-43270,13682,-49420
1081.2,-22183,-42906,13860,-49266
1083.2,-22021,-42449,13920,-49201
1085.2,-22156,-42480,13903,-49165
1087.2,-22434,-42846,13883,-49151
1089.2,-22685,-42929,13828,-49219
1091.2,-22940,-42807,13808,-49254
1093.2,-23159,-42985,13919,-49143
1095.2,-23121,-43348,14013,-49051
1097.2,-22911,-43419,13932,-49129
1099.2,-22938,-43184,13856,-49198
1101.2,-23210,-42946,13984,-49100
1103.2,-23260,-42846,14153,-49005
1105.2,-22961,-42868,14136,-49065
1107.2,-22653,-42958,14004,-49164
1109.2,-22498,-43039,13914,-49190
1111.2,-22389,-43101,13871,-49200
1113.2,-22368,-43168,13835,-49235
1115.2,-22490,-43162,13824,-49259
1117.2,-22511,-42984,13857,-49241
1119.2,-22248,-42691,13951,-49172
1121.2,-21993,-42492,14087,-49082
1123.2,-22163,-42584,14180,-49039
1125.2,-22688,-42892,14186,-49046
1127.2,-23004,-43000,14151,-49063
1129.2,-22714,-42684,14084,-49131
1131.2,-22104,-42380,13975,-49259
1133.2,-21809,-42540,13897,-49338
1135.2,-21998,-42872,13886,-49324
1137.2,-22321,-42881,13911,-49261
1139.2,-22549,-42696,14048,-49083
1141.2,-22723,-42649,14344,-48789
1143.2,-22845,-42668,14582,-48603
1145.2,-22965,-42626,14599,-48598
1147.2,-23222,-42612,14563,-48574
1149.2,-23448,-42631,14562,-48553
1151.2,-23318,-42641,14449,-48724
1153.2,-22993,-42718,14297,-48898
1155.2,-22859,-42769,14381,-48765
1157.2,-22813,-42585,14634,-48499
1159.2,-22584,-42342,14774,-48404
1161.2,-22325,-42309,14781,-48383
1163.2,-22278,-42283,14796,-48288
1165.2,-22390,-42063,14819,-48221
1167.2,-22491,-41905,14791,-48253
1169.2,-22402,-41962,14691,-48341
1171.2,-22109,-42030,14574,-48438
1173.2,-21993,-42093,14641,-48392
1175.2,-22274,-42290,14951,-48133
1177.2,-22476,-42470,15175,-47947
1179.2,-22312,-42479,15105,-48022
1181.2,-22282,-42405,15083,-48030
1183.2,-22596,-42202,15360,-47751
1185.2,-22701,-41801,15611,-47511
1187.2,-22443,-41565,15565,-47550
1189.2,-22276,-41747,15469,-47616
1191.2,-22219,-41912,15561,-47512
1193.2,-21958,-41656,15717,-47375
1195.2,-21666,-41234,15830,-47289
1197.2,-21674,-40966,15987,-47146
1199.2,-21897,-40834,16197,-46937
1201.2,-22096,-40827,16334,-46777
1203.2,-22128,-40862,16377,-46698
1205.2,-21936,-40675,16433,-46633
1207.2,-21732,-40379,16547,-46541
1209.2,-21769,-40359,16664,-46434
1211.2,-21835,-40385,16737,-46341
1213.2,-21613,-40013,16797,-46254
1215.2,-21352,-39647,16906,-46130
1217.2,-21407,-39835,17059,-45964
1219.2,-21514,-40096,17190,-45812
1221.2,-21286,-39830,17275,-45696
1223.2,-20942,-39440,17343,-45585
1225.2,-20828,-39398,17404,-45488
1227.2,-20797,-39402,17457,-45437
1229.2,-20705,-39260,17519,-45406
1231.2,-20801,-39298,17547,-45386
1233.2,-21033,-39453,17479,-45421
1235.2,-20909,-39263,17405,-45459
1237.2,-20527,-38831,17464,-45385
1239.2,-20609,-38670,17608,-45236
1241.2,-21158,-38824,17699,-45133
1243.2,-21384,-38962,17718,-45090
1245.2,-21137,-38949,17679,-45093
1247.2,-21057,-38876,17559,-45164
1249.2,-21253,-38871,17437,-45236
1251.2,-21188,-38992,17408,-45226
1253.2,-20884,-39136,17369,-45231
1255.2,-20945,-39220,17217,-45361
1257.2,-21376,-39321,17092,-45502
1259.2,-21556,-39443,17091,-45571
1261.2,-21368,-39464,17001,-45732
1263.2,-21216,-39434,16687,-46078
1265.2,-21125,-39469,16413,-46373
1267.2,-20946,-39489,16430,-46386
1269.2,-21034,-39493,16576,-46252
1271.2,-21586,-39704,16537,-46284
1273.2,-22018,-40103,16288,-46563
1275.2,-21924,-40359,16045,-46883
1277.2,-21756,-40404,15926,-47056
1279.2,-21897,-40518,15861,-47144
1281.2,-22090,-40793,15770,-47282
1283.2,-22122,-41021,15666,-47450
1285.2,-22131,-41092,15558,-47568
1287.2,-22159,-41109,15411,-47662
1289.2,-22152,-41171,15249,-47774
1291.2,-22224,-41283,15129,-47884
1293.2,-22432,-41428,15029,-47988
1295.2,-22523,-41536,14919,-48086
1297.2,-22242,-41479,14847,-48160
1299.2,-21784,-41324,14801,-48260
1301.2,-21664,-41399,14692,-48427
1303.23,-22037,-41777,14579,-48537
1305.25,-22456,-42014,14613,-48483
1307.28,-22613,-41872,14749,-48374
1309.3,-22852,-41787,14841,-48309
1311.3,-23354,-42038,14869,-48240
1313.3,-23517,-42199,14821,-48234
1315.3,-22965,-42025,14630,-48426
1317.3,-22387,-41976,14407,-48666
1319.3,-22446,-42270,14375,-48706
1321.3,-22753,-42443,14500,-48614
1323.3,-22741,-42284,14579,-48568
1325.3,-22564,-42178,14571,-48549
1327.3,-22526,-42266,14506,-48568
1329.3,-22569,-42260,14360,-48716
1331.3,-22607,-42083,14245,-48852
1333.3,-22624,-41961,14319,-48769
1335.3,-22584,-42031,14470,-48608
1337.3,-22604,-42286,14485,-48601
1339.3,-22729,-42538,14391,-48685
1341.3,-22660,-42424,14308,-48749
1343.3,-22366,-41966,14267,-48810
1345.3,-22384,-41757,14326,-48788
1347.3,-22837,-42022,14495,-48631
1349.3,-23117,-42235,14583,-48549
1351.3,-22960,-42146,14509,-48651
1353.3,-22790,-42172,14494,-48691
1355.3,-22878,-42436,14609,-48578
1357.3,-23062,-42481,14611,-48574
1359.3,-23117,-42202,14472,-48699
1361.3,-22948,-42044,14457,-48697
1363.3,-22707,-42194,14536,-48638
1365.3,-22657,-42358,14434,-48782
1367.3,-22691,-42310,14262,-48946
1369.3,-22483,-42130,14328,-48836
1371.3,-22215,-41992,14510,-48657
1373.3,-22368,-42018,14522,-48683
1375.3,-22847,-42209,14447,-48754
1377.3,-23048,-42370,14440,-48731
1379.3,-22724,-42285,14412,-48761
1381.3,-22294,-42037,14375,-48809
1383.3,-22293,-41926,14497,-48680
1385.3,-22734,-42026,14676,-48509
1387.3,-23107,-42086,14674,-48555
1389.3,-23030,-41979,14552,-48716
1391.3,-22693,-41960,14485,-48784
1393.3,-22506,-42204,14451,-48812
1395.3,-22557,-42457,14410,-48883
1397.3,-22667,-42531,14403,-48952
